artist,song,text
Kelly Clarkson,Breaking Your Own Heart,Shaking your head like it's all wrong  Before you're here you're already gone  And even with the light all around you  You're all alone in the dark.    You're breaking your own heart  Taking it too far down a lonely road  You say it's just one love  But when it's close enough you just let it go  The very thing you've been the most afraid of  You've been doing it from the start breaking your own heart.    Too many tears too many falls  It's easier here behind these walls  But you don't have to walk in the shadows  When life is so hard.    You're breaking your own heart  Taking it too far down a lonely road  You say it's just one love  But when it's close enough you just let it go  The very thing you've been the most afraid of  You've been doing it from the start breaking your own heart.    You're breaking your own heart.  It's not too late I'm still right here.  If only you let go of your fears.    You're breaking your heart  Taking your own heart down a lonely road  You say it's just one love  But when it's close enough you just let it go  The very thing you've been the most afraid of  You've been doing it from the start breaking your own heart.  You're breaking your own heart.
Freestyle,Bakit Iniwan Na,Intro:  Ngunit...  Paano nangyari na...  May mahal ka nang iba...  Naaalala pa  Ang kahapon na  Kay sarap at kay sigla  Naglaho na lang bigla  Akala'y ako lang  Ang iniisip mo  Ang iibigin mo  Hanggang...  Hanggang magpakailanman  Refrain:  Ngunit paano...  Nangyari na may mahal ka nang iba...  Pag- ibig kong ito'y  Nilisan mo na...  Chorus:  Bakit Iniwan Na  Ang puso kong ito  Bakit Iniwan Na  Ang pag-ibig ko sa'yo  Malilimutan ba kaya kita sinta  Anong nang gagawin ng puso  Kong ito ngayong wala ka na  Oh.. Uhhhhh  Pinangarap na ikaw  Makakasama ko  Makakapiling ko  Sa habang buhay  Pag-ibig na tunay  Binigay na ang lahat  Lahat ng oras  At ang pagmamahal sa'yo  Para lamang sa'yo oh oh oh  Refrain:  Ngunit paano...  Nangyari na may mahal ka nang iba...  Pag- ibig ko sayo'y  Nilisan mo na...  Chorus:  Bakit Iniwan Na  Ang puso kong ito  Bakit Iniwan Na  Ang pag-ibig ko sa'yo  Malilimutan ba kaya kita sinta  Anong nang gagawin ng puso  Kong ito ngayong wala ka na  Bridge:  Ang matatamis na mga ala-ala  Nating dalawa  Tanging yan lang  Ang natitira.....  Refrain:  Ngunit paano...  Nangyari na may mahal ka nang iba... Ohh  Pag- ibig kong ito'y  Nilisan mo na... Ohhhh ahhhhh  Chorus:  Bakit Iniwan Na  Ang puso kong ito ohhhhhh...  Bakit Iniwan Na  Ang pag-ibig ko sa'yo  Malilimutan ba kaya kita sinta ohhhhhhhhh...  Anong nang gagawin ng puso ko...  (ano nang gagawin ng puso ko)  Ano nang gagawin ng puso kong...  Ito ngayong...  Wala...  Ngayong wala ka na
Ariana Grande,Just A Little Bit Of Your Heart,[Verse 1]  Oh oh oh oh  I don't ever ask you where you've been  And I don't feel the need to  Know who you're with  I can't even think straight but I can tell  That you were just with her  And I'll still be a fool  I'm a fool for you    [Chorus]  Just a little bit of your heart  Just a little bit of your heart  Just a little bit of your heart is all I want  Just a little bit of your heart  Just a little bit of your heart  Just a little bit is all I'm asking for  Oh oh oh oh    [Verse 2]  I don't ever tell you how I really feel  Cause I can't find the words to say what I mean  And nothing's ever easy  That's what they say  I know I'm not your only  But I'll still be a fool  Cause I'm a fool for you    [Chorus]  Just a little bit of your heart  Just a little bit of your heart  Just a little bit of your heart is all I want  Just a little bit of your heart  Just a little bit of your heart  Just a little bit is all I'm asking for  Oh oh (Just a little bit) oh oh (Hallelujah)    [Bridge]  (Just a little bit oh yeah)  I know I'm not you're only  But at least I'm one  I hear a little love is better than none  Oh babe    [Chorus]  Just a little bit of your heart  Just a little bit of your heart  Just a little bit of your heart is all I want  Just a little bit of your heart  Just a little bit of your heart  Just a little bit is all I'm asking for    [Chorus]  Just a little bit of your heart  Just a little bit of your heart (Just a little bit baby)  Just a little bit of your heart is all I want (Is all I want)  Just a little bit of your heart (Just a little bit)  Just a little bit of your heart (Just a little bit)  Just a little bit is all I'm asking for
Mc Hammer,Here Comes The Hammer,Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Here comes the Hammer  Yes this is a mission that I'm on  Taking out the weak on the microphone  I'm hype so talk about the hard hitting Hammer  When you came to walk on the stage after me  And if you do your catastrophe happenin's  Just like that out like a mall white to black  Oh oh oh busted  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Oh oh oh oh oh oh  Naw no is what I say when I came to see a show  I look and it's dead dead  You know like a body in the ground  Will your show ever grow?  Let me know if not the gloves come off  'Cause you sure ain't hot  It needs work like a car in a wreck  They call me Hammer yeah earn my respect  Oh oh oh yeah  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Oh oh oh oh oh oh  Let's make it smooth  Let's make it smooth  Let's make it smooth  Let's make it smooth  Busted  I don't hesitate or wait before the bell rings I'm out the gate  And rolling out for mine working so hard for such a long time  And life yes it's here and gone so pedal to the Hammer  While I'm watching the floor I'm not a king just filling pipe  You dance to the music while I'm on the mic  Oh oh oh here we go  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Oh oh oh oh oh oh  Let's make it smooth  Let's make it smooth  Let's make it smooth  Let's make it smooth  Busted  Been to a tomb and I'm rolling a whole new style  But the people are holding on too  I move I groove I rap the move is so plain just plain  Your ego's so big that you miss the whole thing  And dang my crib the people wanted more  Tthat's why the Hammer's in  Oh oh oh yeah  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Oh oh oh oh oh oh  Let's make it smooth yeah  Let's make it smooth come on  Let's make it smooth yeah  Let's make it smooth  Check me out  Move on the floor and get hype  You get get with it and this is your mic  Yeah let 'em know the cool the hard the fly oh  Their in here and it's pumpin'  Hammer's got the speakers  And you know the bass is bumpin' loud  And low it's about that time so here we go  Oh oh oh busted  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Here comes the Hammer  Oh oh oh oh oh oh  Oh oh oh oh oh oh  Let's make it smooth yeah  Let's make it smooth  Come on let's make it smooth  Let's make it smooth  Busted  
Doors,We Could Be So Good Together,We could be so good together  Ya so good together  We could be so good together  Ya we could I know we could  Tell you lies  I tell you wicked lies  Tell you lies  Tell you wicked lies  Tell you 'bout the world that we'll invent  Wanton world without lament  Enterprise expedition  Invitation and invention  Ya so good together  Ah so good together  We could be so good together  Ya we could know we could  Alright!  Do da do do do do do bup bup de day  We could be so good together  Ya so good together  We could be so good together  Ya we could know we could  Tell you lies  Tell you wicked lies  Tell you lies  Tell you wicked lies  The time you wait subtracts the joy  Beheads the angels you destroy  Angels fight angels cry  Angels dance and angels die  Ya so good together  Ah but so good together  We could be so good together  Ya we could know we could
Fifth Harmony,Worth It (No Rap),"Give it to me I'm worth it  Baby I'm worth it  Uh huh I'm worth it  Gimme gimme I'm worth it  Give it to me I'm worth it  Baby I'm worth it  Uh huh I'm worth it  Gimme gimme I'm worth it    Just gimme you just gimme you  Just gimme you that's all I wanna do  And if what they say is true  If it's true I might give me to you  I may talk a lot of stuff  Guaranteed I can back it up  I think I'm a call you bluff  Hurry up I'm waitin' out front    Uh huh you see me in the spotlight  ""Ooh I love your style""  Uh huh show me what you got  'Cause I don't wanna waste my time  Uh huh see me in the spotlight  ""Ooh I love your style""  Uh huh show me what you got now  Come and make it worth my while    Give it to me I'm worth it  Baby I'm worth it  Uh huh I'm worth it  Gimme gimme I'm worth it  Give it to me I'm worth it  Baby I'm worth it  Uh huh I'm worth it  Gimme gimme I'm worth it    It's all on you it's all on you  It's all on you so what you wanna do?  And if you don't have a clue  Not a clue I'll tell you what to do  Come harder just because  I don't like it like it too soft  I like it a little rough  Not too much but maybe just enough    Uh huh you see me in the spotlight  ""Ooh I love your style""  Uh huh show me what you got  'Cause I don't wanna waste my time  Uh huh see me in the spotlight  ""Ooh I love your style""  Uh huh show me what you got now  Come and make it worth my while    Give it to me I'm worth it  Baby I'm worth it  Uh huh I'm worth it  Gimme gimme I'm worth it  Give it to me I'm worth it (know what I mean?)  Baby I'm worth it (give me everything)  Uh huh I'm worth it  Gimme gimme I'm worth it    Uh huh you see me in the spotlight  ""Ooh I love your style""  Uh huh show me what you got  'Cause I don't wanna waste my time  Uh huh see me in the spotlight  ""Ooh I love your style""  Uh huh show me what you got now  Come and make it worth my while    Give it to me I'm worth it  Baby I'm worth it  Uh huh I'm worth it  Gimme gimme I'm worth it  Give it to me I'm worth it (know what I mean?)  Baby I'm worth it (give me everything)  Uh huh I'm worth it  Gimme gimme I'm worth it    Give it to me I'm worth it"
Blur,The Universal,This is the next century  The Universal is free  You can find it anywhere  Yes the future has been sold  Every night we are gone  And to karaoke songs  We like to sing along  Although the words are wrong    It really really really could happen  Yes it really really really could happen  When the days seem to fall straight through you  Just let them go    No one here is alone  Satellites in every home  The Universal is here  Here for everyone  Every paper that you read  Says tomorrow is your lucky day  Well here's your lucky day
Rainbow,Lady Of The Lake,There's a magical sound slidin' over the ground  Makin' it shiver and shake  And a permanent cry fallin' out of the sky  Slippery and sly like a snake    With a delicate move kind of shifty and smooth  A shadow has covered the light  Then a beam in the shade from a silvery blade  Has shattered the edge of the night    I know she waits below  Only to rise on command  When she comes for me  She's got my life in her hands    When a movement behind hit the side of my mind  I trembled and shook it away  Then another assault and I started to falter  Fibers of steel turned to clay    With a bubbly turn now the water should churn  And push it way from the core  And a lady in white will bring sun to the night  Brighter than ever before    I know she waits below  Only to rise on command  When she comes for me  She's got my life in her hands  Lady of the lake    There's a magical sound slidin' over the ground  Makin' it shiver and shake  And a permanent cry fallin' out of the sky  Slippery and sly like a snake    With a delicate move kind of shifty and smooth  A shadow has covered the light  Then a beam in the shade from a silvery blade  Has shattered the edge of the night    Straight down I'm swirling around  Blinded and bruised by the strain  There must be some way to see  Diamonds out of the rain    I know she waits below  Only to rise on command  When she comes for me  She's got my life in her hands  Lady of the lake
Robbie Williams,16 Tons,"(Travis Merle)  Some people say a man is made outta mud  A poor man's made outta muscle and blood  Muscle and blood and skin and bones  A mind that's a-weak and a back that's strong    You load sixteen tons what do you get  Another day older and deeper in debt  Saint Peter don't you call me 'cause I can't go  I owe my soul to the company store    I was born one mornin' when the sun didn't shine  I picked up my shovel and I walked to the mine  I loaded sixteen tons of number nine coal  And the straw boss said ""Well a-bless my soul""    You load sixteen tons what do you get  Another day older and deeper in debt  Saint Peter don't you call me 'cause I can't go  I owe my soul to the company store    I was born one mornin' it was drizzlin' rain  Fightin' and trouble are my middle name  I was raised in the canebrake by an ol' mama lion  Cain't no-a high-toned woman make me walk the line    You load sixteen tons what do you get  Another day older and deeper in debt  Saint Peter don't you call me 'cause I can't go  I owe my soul to the company store    If you see me comin' better step aside  A lotta men didn't a lotta men died  One fist of iron the other of steel  If the right one don't a-get you  Then the left one will    You load sixteen tons what do you get  Another day older and deeper in debt  Saint Peter don't you call me 'cause I can't go  I owe my soul to the company store"
Nirvana,Baba O' Riley,Out here in the fields  I fight for my meals  I get my back into my living  I don't need to fight  To prove I'm right  I don't need to be forgiven    Don't cry  Don't raise your eye  It's only teenage wasteland    Sally take my hand  Travel south crossland  Put out the fire  Don't look past my shoulder  The exodus is here  The happy ones are near  Let's get together  Before we get much older    Teenage wasteland  It's only teenage wasteland  Teenage wasteland  Oh oh  Teenage wasteland  They're all wasted!
